Date,Now,Open,High,Low,Volume
20121220,1074.6,1072.3,1075.2,1072.1,0.002
20121221,1075.9,1074.8,1076.65,1074.3,0.0012
20121224,1073.5,1075.9,1076.5,1073.5,-0.0022
20121225,1073.5,1073.5,1073.5,1073.5,0
20121226,1073.5,1073.5,1074.85,1073.2,0
20121227,1072.51,1073.5,1074.65,1071.72,-0.0009
20121228,1067.64,1072.51,1072.51,1067.24,-0.0045
20121231,1063.64,1067.54,1067.54,1063.18,-0.0037
20130101,1063.64,1063.64,1063.64,1063.64,0
20130102,1063.5,1066.1,1066.4,1063.3,-0.0001
20130103,1063.2,1063.55,1064.85,1061.15,-0.0003
20130104,1062.39,1063.2,1065.25,1062.25,-0.0008
20130107,1063.21,1062.39,1065.05,1060.45,0.0008
20130108,1064.15,1063.16,1064.35,1062.3,0.0009
20130109,1060.65,1064.3,1064.3,1060.2,-0.0033
20130110,1058.57,1060.65,1063.25,1058.42,-0.002
20130111,1056.49,1058.67,1058.67,1054.75,-0.002
20130114,1056.5,1056.54,1056.94,1055.9,0
20130115,1057.57,1056.45,1058.07,1054.75,0.001
20130116,1058.8,1057.57,1060.5,1056.25,0.0012
20130117,1057.99,1058.53,1059.97,1056.58,-0.0008
20130118,1058.35,1058.17,1058.75,1055.25,0.0003
20130121,1064.35,1058.5,1064.55,1057.5,0.0057
20130122,1063.66,1064.7,1068.65,1061.75,-0.0006
20130123,1067.19,1062.98,1067.57,1062.97,0.0033
20130124,1069.15,1067.87,1070.85,1066.55,0.0018
20130125,1075.58,1068.55,1075.58,1068.55,0.006
20130128,1091.92,1076.03,1094.4,1076.03,0.0152
20130129,1084.12,1091.62,1093.6,1082.3,-0.0071
20130130,1086.3,1084.17,1087.82,1079.05,0.002
20130131,1088.26,1086.8,1091.85,1086.8,0.0018
20130201,1095.19,1087.71,1098.55,1086.3,0.0064
20130204,1089.8,1097.45,1097.45,1083.65,-0.0049
20130205,1086.87,1090.05,1092.1,1084,-0.0027
20130206,1089.5,1086.67,1091.9,1083.9,0.0024
20130207,1090.4,1089.25,1091.25,1087.15,0.0008
20130208,1096,1090.65,1097.4,1090.2,0.0051
20130211,1096,1096,1096,1096,0
20130212,1093.38,1095.75,1098.15,1089.65,-0.0024
20130213,1086.67,1084.75,1089.65,1084.75,-0.0061
20130214,1085.54,1086.22,1087,1083.3,-0.001
20130215,1079,1086.14,1086.14,1077.4,-0.006
20130218,1083.71,1078.4,1085.6,1078.4,0.0044
20130219,1080.5,1083.81,1083.81,1079.87,-0.003
20130220,1080.68,1080.7,1080.75,1076.7,0.0002
20130221,1087.25,1080.43,1087.25,1080.43,0.0061
20130222,1085.73,1087.5,1090.5,1084.5,-0.0014
20130225,1086.5,1085.53,1089.65,1085.05,0.0007
20130226,1090.27,1086.85,1090.86,1086.85,0.0035
20130227,1084.88,1089.62,1089.62,1083.2,-0.0049
20130228,1084.35,1085.13,1085.13,1081.15,-0.0005
20130301,1084.65,1084.65,1084.65,1084.65,0.0003
20130304,1091.01,1084.25,1093.85,1084.25,0.0059
20130305,1086.63,1091.01,1091.01,1085.75,-0.004
20130306,1084.76,1086.48,1086.48,1082.1,-0.0017
20130307,1087.74,1084.81,1088.25,1084.81,0.0027
